Actor1,Actor10,Actor2,Actor3,Actor4,Actor5,Actor6,Actor7,Actor8,Actor9,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
Gerard Butler,,Michael C. Hall,Ludacris,,,,,,,"Gerard Butler, Michael C. Hall, Ludacris",1 win total,"$20,534,907 ",United States,N/A,"Mark Neveldine, Brian Taylor","Action, Sci-Fi, Thriller",English,27,"Ken Castle is extremely rich, popular, and powerful since he invented and started exploiting the virtual online parallel reality games. In these games, people can either pay to be a user or get paid to be an 'actor' in a system of mind-control. In the ultimate version, Slayers, death row convicts act as gladiators in a desperate dim bid for survival, which no one has achieved yet. The champion, John 'Kable' Tillman, is scheduled to die just before he'd gain release, but he persuades his teenage 'handler' to hand over the reins so he can fully use his talents and experience. Kable escapes to freedom, but Castle's men chase him. Kable has to fight his way back to Castle's headquarters to challenge his hidden evil plans.",https://m.media-amazon.com/images/M/MV5BMTkzMDU0NTg3MF5BMl5BanBnXkFtZTcwNzU1MjU1Mg@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",4-Sep-09,TRUE,95 min,Gamer,movie,N/A,"Mark Neveldine, Brian Taylor",2009,tt1034032,5.7,"143,194"
Sean Penn,,Ryan Gosling,Emma Stone,,,,,,,"Sean Penn, Ryan Gosling, Emma Stone",5 nominations total,"$46,000,903 ",United States,N/A,Ruben Fleischer,"Action, Crime, Drama",English,40,"It's 1949 Los Angeles, and gangster Mickey Cohen has moved in, with the intention of controlling all criminal activity in the city. He has bought local judges and police, and no one is willing to cross him or testify against him. Everyone except Sergeant John O'Mara, a former World War II soldier, whose goal is to settle with his family in a peaceful Los Angeles. Police Chief William Parker decides to form a special unit whose mission is to take down Cohen, and chooses O'Mara to lead the unit. O'Mara chooses 4 cops and asks another cop and vet, Jerry Wooters to join him but Wooters is not interested. After Wooters witnesses the murder of a young boy by Cohen's people, he joins them, and they decide to take apart Cohen's organization. Cohen wonders if a rival is going after him, eventually he realizes it's the cops.",https://m.media-amazon.com/images/M/MV5BMTcwMjAyMTUzMl5BMl5BanBnXkFtZTcwODgxNzk1OA@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",11-Jan-13,TRUE,113 min,Gangster Squad,movie,N/A,"Will Beall, Paul Lieberman",2013,tt1321870,6.7,"227,924"
Daniel Kaluuya,,Allison Williams,Bradley Whitford,,,,,,,"Daniel Kaluuya, Allison Williams, Bradley Whitford",Won 1 Oscar. 154 wins & 214 nominations total,"$176,196,665 ","United States, Japan",9-May-17,Jordan Peele,"Horror, Mystery, Thriller","English, Swahili",85,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",https://m.media-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_SX300.jpg,"Universal Pictures, QC Entertainment, Blumhouse Productions",R,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",24-Feb-17,TRUE,104 min,Get Out,movie,N/A,Jordan Peele,2017,tt5052448,7.8,"797,716"
Bill Murray,,Dan Aykroyd,Sigourney Weaver,,,,,,,"Bill Murray, Dan Aykroyd, Sigourney Weaver",2 wins & 1 nomination total,"$112,494,738 ",United States,N/A,Ivan Reitman,"Action, Comedy, Fantasy",English,56,"Having lost their status and credibility five years after covering New York City with marshmallow in Ghostbusters (1984), the once-famous band of spirit-hunters find themselves struggling to keep afloat, working odd jobs. However, when Dana Barrett and her baby, Oscar, have yet another terrifying encounter with the paranormal, it's up to Peter Venkman and his fearless team of supernatural crime-fighters to save the day. Now, once more, humanity is in danger, as rivers of slimy psycho-reactive ectoplasm, and the dreadful manifestation of the evil sixteenth-century tyrant, Vigo the Carpathian, threaten to plunge the entire city into darkness unless the selfless Ghostbusters take action. Can they save the world for the second time?",https://m.media-amazon.com/images/M/MV5BZThjODU5NTMtMWJiNC00NjNkLWJmM2YtM2EzNDg3NjMxYjU5XkEyXkFqcGc@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",16-Jun-89,TRUE,108 min,Ghostbusters II,movie,N/A,"Dan Aykroyd, Harold Ramis",1989,tt0097428,6.6,"237,449"
Pierce Brosnan,,Sean Bean,Izabella Scorupco,,,,,,,"Pierce Brosnan, Sean Bean, Izabella Scorupco",Nominated for 2 BAFTA 2 wins & 8 nominations total,"$106,429,941 ","United Kingdom, United States, Russia",N/A,Martin Campbell,"Action, Adventure, Thriller","English, Russian, Spanish",65,"When a deadly satellite weapon system falls into the wrong hands, only Agent James Bond 007 (Pierce Brosnan) can save the world from certain disaster. Armed with his licence to kill, Bond races to Russia in search of the stolen access codes for ""GoldenEye"", an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp (Famke Janssen), an assassin who uses pleasure as her ultimate weapon.",https://m.media-amazon.com/images/M/MV5BOGQxNmYyY2YtZGIyNy00ODgxLThhZWEtZGIyNjJhYzFlOTllXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",17-Nov-95,TRUE,130 min,GoldenEye,movie,N/A,"Ian Fleming, Michael France, Jeffrey Caine",1995,tt0113189,7.2,"281,321"
Sean Connery,,Gert Fröbe,Honor Blackman,,,,,,,"Sean Connery, Gert Fröbe, Honor Blackman",Won 1 Oscar. 7 wins & 6 nominations total,"$51,081,062 ","United Kingdom, United States",N/A,Guy Hamilton,"Action, Adventure, Thriller","English, Chinese, Spanish",87,"James Bond (Sir Sean Connery) is back and his next mission takes him to Fort Knox, where Auric Goldfinger (Gert Fröbe) and his henchman are planning to raid Fort Knox and obliterate the world economy. To save the world once again, Bond will need to become friends with Goldfinger, dodge killer hats, and avoid Goldfinger's personal pilot, the sexy Pussy Galore (Honor Blackman). She might not have feelings for Bond, but will 007 help her change her mind?",https://m.media-amazon.com/images/M/MV5BMTQ2MzE0OTU3NV5BMl5BanBnXkFtZTcwNjQxNTgzNA@@._V1_SX300.jpg,N/A,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",9-Jan-65,TRUE,110 min,Goldfinger,movie,N/A,"Richard Maibaum, Paul Dehn, Ian Fleming",1964,tt0058150,7.7,"213,835"
Clark Gable,,Vivien Leigh,Thomas Mitchell,,,,,,,"Clark Gable, Vivien Leigh, Thomas Mitchell",Won 8 Oscars. 26 wins & 10 nominations total,"$200,882,193 ",United States,N/A,Victor Fleming,"Drama, Romance, War",English,97,"Scarlett is a woman who can deal with a nation at war, Atlanta burning, the Union Army carrying off everything from her beloved Tara, the carpetbaggers who arrive after the war. Scarlett is beautiful. She has vitality. But Ashley, the man she has wanted for so long, is going to marry his placid cousin, Melanie. Mammy warns Scarlett to behave herself at the party at Twelve Oaks. There is a new man there that day, the day the Civil War begins. Rhett Butler. Scarlett does not know he is in the room when she pleads with Ashley to choose her instead of Melanie.",https://m.media-amazon.com/images/M/MV5BYmYxZTE3YzMtYmE2Yy00NmFlLTkzYTAtYTAzN2IzNDFkN2E0XkEyXkFqcGc@._V1_SX300.jpg,N/A,G,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '97/100'}]",17-Jan-40,TRUE,238 min,Gone with the Wind,movie,N/A,"Margaret Mitchell, Sidney Howard, Oliver H.P. Garrett",1939,tt0031381,8.2,"353,247"
Kel Mitchell,,Kenan Thompson,Sinbad,,,,,,,"Kel Mitchell, Kenan Thompson, Sinbad",N/A,"$23,712,993 ",United States,N/A,Brian Robbins,"Comedy, Family",English,41,"Dexter Reed, a high-schooler is forced to get a summer job at a fast food restaurant called Good Burger after causing a car wreck by his school teacher Mr. Wheat. So Dexter must pay off his teacher's car by working very hard at Good Burger. Meanwhile things turned worse when Mondo Burger, a mammoth fast-food chain opens across the street, it looks like Good Burger is soon going to be history for good! Now it is up to Dexter and his new friend Ed the not-so bright cashier to save the day, as they develop a delicious special secret sauce that Ed created brings hundreds of new customers to their door and makes their new competition desperate to steal the recipe and all of their customers.",https://m.media-amazon.com/images/M/MV5BYmZjMGM0OTktZDZhOC00MzJmLTllY2MtMjRmYTk2MGQ3ZmQ2XkEyXkFqcGc@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",25-Jul-97,TRUE,95 min,Good Burger,movie,N/A,"Dan Schneider, Kevin Kopelow, Heath Seifert",1997,tt0119215,5.8,"35,255"
Robert De Niro,,Ray Liotta,Joe Pesci,,,,,,,"Robert De Niro, Ray Liotta, Joe Pesci",Won 1 Oscar. 44 wins & 38 nominations total,"$46,909,721 ",United States,N/A,Martin Scorsese,"Biography, Crime, Drama","English, Italian, Hebrew, Yiddish",92,"Henry Hill might be a small time gangster, who may have taken part in a robbery with Jimmy Conway and Tommy De Vito, two other gangsters who might have set their sights a bit higher. His two partners could kill off everyone else involved in the robbery, and slowly start to think about climbing up through the hierarchy of the Mob. Henry, however, might be badly affected by his partners' success, but will he consider stooping low enough to bring about the downfall of Jimmy and Tommy?",https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",21-Sep-90,TRUE,145 min,Goodfellas,movie,N/A,"Nicholas Pileggi, Martin Scorsese",1990,tt0099685,8.7,"1,368,490"
Bill Murray,,Andie MacDowell,Chris Elliott,,,,,,,"Bill Murray, Andie MacDowell, Chris Elliott",Won 1 BAFTA Award7 wins & 17 nominations total,"$71,107,962 ",United States,N/A,Harold Ramis,"Comedy, Drama, Fantasy","English, French, Italian",72,"A weather man is reluctantly sent to cover a story about a weather forecasting ""rat"" (as he calls it). This is his fourth year on the story, and he makes no effort to hide his frustration. On awaking the 'following' day, he discovers that it's Groundhog Day again, and again, and again. First he uses this to his advantage, then comes the realisation that he is doomed to spend the rest of eternity in the same place, seeing the same people do the same thing every day.",https://m.media-amazon.com/images/M/MV5BOWE3MjQ3ZDAtNDQ2MC00YjBjLTk0ZWYtNjQ0YzQ4YWE3YTEyXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",12-Feb-93,TRUE,101 min,Groundhog Day,movie,N/A,"Danny Rubin, Harold Ramis",1993,tt0107048,8,"730,572"
Adam Sandler,,Salma Hayek,Kevin James,,,,,,,"Adam Sandler, Salma Hayek, Kevin James",3 wins & 4 nominations total,"$162,001,186 ",United States,N/A,Dennis Dugan,Comedy,"English, Spanish",30,"In 1978, five 12-year-olds win a CYO basketball championship. Thirty years later, they gather with their families for their coach's funeral and a weekend at a house on a lake where they used to party. By now, each is a grownup with problems and challenges: Marcus is alone and drinks too much. Rob, with three daughters he rarely sees, is always deeply in love until he turns on his next ex-wife. Eric is overweight and out of work. Kurt is a househusband, henpecked by wife and mother-in-law. Lenny is a successful Hollywood agent married to a fashion designer with three kids and his two sons take their privilege for granted. Can the outdoors help these grownups rediscover connections or is this chaos in the making?",https://m.media-amazon.com/images/M/MV5BMjA0ODYwNzU5Nl5BMl5BanBnXkFtZTcwNTI1MTgxMw@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",25-Jun-10,TRUE,102 min,Grown Ups,movie,N/A,"Adam Sandler, Fred Wolf",2010,tt1375670,6,"307,736"
Chris Pratt,,Vin Diesel,Bradley Cooper,,,,,,,"Chris Pratt, Vin Diesel, Bradley Cooper",Nominated for 2 Oscars. 52 wins & 103 nominations total,"$333,718,600 ","United States, United Kingdom",N/A,James Gunn,"Action, Adventure, Comedy",English,76,"After stealing a mysterious orb in the far reaches of outer space, Peter Quill from Earth is now the main target of a manhunt led by the villain known as Ronan the Accuser. To help fight Ronan and his team and save the galaxy from his power, Quill creates a team of space heroes known as the ""Guardians of the Galaxy"" to save the galaxy.",https://m.media-amazon.com/images/M/MV5BM2ZmNjQ2MzAtNDlhNi00MmQyLWJhZDMtNmJiMjFlOWY4MzcxXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",1-Aug-14,TRUE,121 min,Guardians of the Galaxy,movie,N/A,"James Gunn, Nicole Perlman, Dan Abnett",2014,tt2015381,8,"1,345,686"
Anthony Hopkins,,Julianne Moore,Gary Oldman,,,,,,,"Anthony Hopkins, Julianne Moore, Gary Oldman",9 wins & 25 nominations total,"$165,092,268 ","United Kingdom, Italy, United States",N/A,Ridley Scott,"Crime, Drama, Thriller","English, Italian, Japanese",57,"The final chapter of the Dr. Hannibal Lecter quadrilogy, the murdering cannibal. He is presently in Italy, and works as a curator at a museum. Clarice Starling (Julianne Moore), the F.B.I. Agent who he aided to apprehend a serial killer, was placed in charge of an operation, but when one of her men botches it, she's called to the mat by the Bureau. One high ranking official, Paul Krendler (Ray Liotta) has it in for her. But she gets a reprieve because Mason Verger (Gary Oldman), one of Lecter's victims who is looking to get back at Lecter for what Lecter did to him, wants to use Starling to lure him out. When Lecter sends her a note, she learns that he's in Italy, so she asks the Police to keep an eye out for him. But a corrupt Policeman, who wants to get the reward that Verger placed on him, tells Verger where he is, but they fail to get him. Later, Verger decides to frame Starling, which makes Lecter return to the U.S., and the race to get Lecter begins.",https://m.media-amazon.com/images/M/MV5BYTk3NGUzOWYtNTU5Yy00ZDNjLTg1YzItZDlmNWRhMmVlZTMxXkEyXkFqcGc@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",9-Feb-01,TRUE,131 min,Hannibal,movie,N/A,"Thomas Harris, David Mamet, Steven Zaillian",2001,tt0212985,6.8,"309,968"
Gaspard Ulliel,,Rhys Ifans,Gong Li,,,,,,,"Gaspard Ulliel, Rhys Ifans, Gong Li",2 nominations total,"$27,670,986 ","Czech Republic, United Kingdom, France, United States",N/A,Peter Webber,"Adventure, Crime, Drama","English, German, Russian",35,"Mischa and Hannibal, baby brother and sister, are inseparable; it is their love for each other that ties their bond. Their companionship is forever binding, until, with their family, while hiding from the Nazi war machine a twisted set of circumstance sets the pace for a most vicious attack on the future of one Hannibal Lecter for the sworn vengeance for the brutal killing of his baby sister. Years later, we find Hannibal, the teenager, setting up in Paris, and living with his aunt Lady Murasaki Shikibu and studying at medical school here he finds his forte. Still searching for his sister's murderers, still bitter and still ever hopeful of satisfying his desire for retribution. This chance arrives, and soon we are to learn that for a pound of flesh lost a pound of flesh must be repaid. This is the horrific tale of justice and honor, a young man's growing pains that will have the guilty paying with more than just flesh and bone. This is the up and rising tale of the young Hannibal, pray you do not meet him, for meat you shall be to him. Taste his wrath.",https://m.media-amazon.com/images/M/MV5BMTIzMTA0NTM4NF5BMl5BanBnXkFtZTcwNjY3ODM0MQ@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",9-Feb-07,TRUE,121 min,Hannibal Rising,movie,N/A,Thomas Harris,2007,tt0367959,6.1,"120,214"
Daniel Radcliffe,,Rupert Grint,Emma Watson,,,,,,,"Daniel Radcliffe, Rupert Grint, Emma Watson",Won 1 BAFTA Award14 wins & 50 nominations total,"$262,641,637 ","United Kingdom, United States",N/A,Chris Columbus,"Adventure, Family, Fantasy","English, Latin",63,"Forced to spend his summer holidays with his muggle relations, Harry Potter (Daniel Radcliffe) gets a real shock when he gets a surprise visitor: Dobby (Toby Jones) the house-elf, who warns Harry against returning to Hogwarts, for terrible things are going to happen. Harry decides to ignore Dobby's warning and continues with his pre-arranged schedule. But at Hogwarts, strange and terrible things are indeed happening. Harry is suddenly hearing mysterious voices from inside the walls, muggle-born students are being attacked, and a message scrawled on the wall in blood puts everyone on his or her guard, ""The Chamber Of Secrets Has Been Opened. Enemies Of The Heir, Beware"".",https://m.media-amazon.com/images/M/MV5BNGJhM2M2MWYtZjIzMC00MDZmLThkY2EtOWViMDhhYjRhMzk4XkEyXkFqcGc@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",15-Nov-02,TRUE,161 min,Harry Potter and the Chamber of Secrets,movie,N/A,"J.K. Rowling, Steve Kloves",2002,tt0295297,7.5,"753,952"
Daniel Radcliffe,,Emma Watson,Rupert Grint,,,,,,,"Daniel Radcliffe, Emma Watson, Rupert Grint",Nominated for 2 Oscars. 15 wins & 55 nominations total,"$296,374,621 ","United Kingdom, United States",N/A,David Yates,"Adventure, Family, Fantasy","English, Latin",65,"Voldemort's (Ralph Fiennes') power is growing stronger. He now has control over the Ministry of Magic and Hogwarts. Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) decide to finish Dumbledore's (Sir Michael Gambon's) work and find the rest of the Horcruxes to defeat the Dark Lord. But little hope remains for the trio and the rest of the Wizarding World, so everything they do must go as planned.",https://m.media-amazon.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",19-Nov-10,TRUE,146 min,Harry Potter and the Deathly Hallows: Part 1,movie,N/A,"Steve Kloves, J.K. Rowling",2010,tt0926084,7.7,"652,766"
Daniel Radcliffe,,Emma Watson,Rupert Grint,,,,,,,"Daniel Radcliffe, Emma Watson, Rupert Grint",Nominated for 3 Oscars. 49 wins & 96 nominations total,"$381,884,297 ","United Kingdom, United States",N/A,David Yates,"Adventure, Family, Fantasy","English, Latin",85,"Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) continue their quest of finding and destroying Voldemort's (Ralph Fiennes') three remaining Horcruxes, the magical items responsible for his immortality. But as the mystical Deathly Hallows are uncovered, and Voldemort finds out about their mission, the biggest battle begins, and life as they know it will never be the same again.",https://m.media-amazon.com/images/M/MV5BOTA1Mzc2N2ItZWRiNS00MjQzLTlmZDQtMjU0NmY1YWRkMGQ4XkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",15-Jul-11,TRUE,130 min,Harry Potter and the Deathly Hallows: Part 2,movie,N/A,"Steve Kloves, J.K. Rowling",2011,tt1201607,8.1,"1,031,099"
Daniel Radcliffe,,Emma Watson,Rupert Grint,,,,,,,"Daniel Radcliffe, Emma Watson, Rupert Grint",Nominated for 1 Oscar. 13 wins & 48 nominations total,"$290,469,928 ","United Kingdom, United States",N/A,Mike Newell,"Adventure, Family, Fantasy","English, French, Latin",81,"Harry's (Daniel Radcliffe's) fourth year at Hogwarts is about to start and he is enjoying the summer vacation with his friends. They get the tickets to The Quidditch World Cup Final, but after the match is over, people dressed like Lord Voldemort's (Ralph Fiennes') ""Death Eaters"" set a fire to all of the visitors' tents, coupled with the appearance of Voldemort's symbol, the ""Dark Mark"" in the sky, which causes a frenzy across the magical community. That same year, Hogwarts is hosting ""The Triwizard Tournament"", a magical tournament between three well-known schools of magic : Hogwarts, Beauxbatons, and Durmstrang. The contestants have to be above the age of seventeen, and are chosen by a magical object called ""The Goblet of Fire"". On the night of selection, however, the Goblet spews out four names instead of the usual three, with Harry unwittingly being selected as the Fourth Champion. Since the magic cannot be reversed, Harry is forced to go with it and brave three exceedingly difficult tasks.",https://m.media-amazon.com/images/M/MV5BMTIzNzUzOTk2NV5BMl5BanBnXkFtZTYwNTI4MDg2._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",18-Nov-05,TRUE,157 min,Harry Potter and the Goblet of Fire,movie,N/A,"Steve Kloves, J.K. Rowling",2005,tt0330373,7.7,"739,101"
Daniel Radcliffe,,Emma Watson,Rupert Grint,,,,,,,"Daniel Radcliffe, Emma Watson, Rupert Grint",Nominated for 1 Oscar. 9 wins & 39 nominations total,"$302,334,374 ","United Kingdom, United States",N/A,David Yates,"Action, Adventure, Family","English, Latin",78,"During Harry Potter's sixth year at Hogwarts, he finds a book that once belonged to the mysterious Half-Blood Prince that earns him the respect of his new Potions professor Horace Slughorn. In addition, Dumbledore must prepare Harry for the ultimate final confrontation by finding out the secret behind Voldemort's power. Meanwhile, a hidden enemy waits in the shadows to carry out a mission given to him by the Dark Lord.",https://m.media-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",15-Jul-09,TRUE,153 min,Harry Potter and the Half-Blood Prince,movie,N/A,"Steve Kloves, J.K. Rowling",2009,tt0417741,7.6,"646,747"
Daniel Radcliffe,,Emma Watson,Rupert Grint,,,,,,,"Daniel Radcliffe, Emma Watson, Rupert Grint",Nominated for 2 BAFTA 17 wins & 50 nominations total,"$292,382,727 ","United Kingdom, United States",N/A,David Yates,"Action, Adventure, Family","English, Latin",71,"After a lonely summer on Privet Drive, Harry (Daniel Radcliffe) returns to a Hogwarts full of ill-fortune. Few of students and parents believe him or Dumbledore (Sir Michael Gambon) that Voldemort (Ralph Fiennes) is really back. The ministry had decided to step in by appointing a new Defense Against the Dark Arts teacher, Professor Dolores Umbridge (Imelda Staunton), who proves to be the nastiest person Harry has ever encountered. Harry also can't help stealing glances with the beautiful Cho Chang (Katie Leung). To top it off are dreams that Harry can't explain, and a mystery behind something for which Voldemort is searching. With these many things, Harry begins one of his toughest years at Hogwarts School of Witchcraft and Wizardry.",https://m.media-amazon.com/images/M/MV5BYWJmM2M1YzItMjY1Ni00YzRmLTg5YWYtNDFmNTJjNzQ0ODkyXkEyXkFqcGc@._V1_SX300.jpg,N/A,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",11-Jul-07,TRUE,138 min,Harry Potter and the Order of the Phoenix,movie,N/A,"Michael Goldenberg, J.K. Rowling",2007,tt0373889,7.5,"686,806"
Daniel Radcliffe,,Emma Watson,Rupert Grint,,,,,,,"Daniel Radcliffe, Emma Watson, Rupert Grint",Nominated for 2 Oscars. 17 wins & 56 nominations total,"$250,657,586 ","United Kingdom, United States",N/A,Alfonso Cuarón,"Adventure, Family, Fantasy","English, Latin, Old English",82,"Harry Potter (Daniel Radcliffe) is having a tough time with his relatives (yet again). He runs away after using magic to inflate Uncle Vernon's (Richard Griffiths') sister Marge (Pam Ferris), who was being offensive towards Harry's parents. Initially scared for using magic outside the school, he is pleasantly surprised that he won't be penalized after all. However, he soon learns that a dangerous criminal and Voldemort's trusted aide Sirius Black (Gary Oldman) has escaped from Azkaban Prison and wants to kill Harry to avenge the Dark Lord. To worsen the conditions for Harry, vile creatures called Dementors are appointed to guard the school gates and inexplicably happen to have the most horrible effect on him. Little does Harry know that by the end of this year, many holes in his past (whatever he knows of it) will be filled up and he will have a clearer vision of what the future has in store.",https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",4-Jun-04,TRUE,142 min,Harry Potter and the Prisoner of Azkaban,movie,N/A,"J.K. Rowling, Steve Kloves",2004,tt0304141,7.9,"758,003"
Daniel Radcliffe,,Rupert Grint,Emma Watson,,,,,,,"Daniel Radcliffe, Rupert Grint, Emma Watson",Nominated for 3 Oscars. 20 wins & 75 nominations total,"$319,765,078 ","United Kingdom, United States",N/A,Chris Columbus,"Adventure, Family, Fantasy","English, Latin",65,"This is the tale of Harry Potter (Daniel Radcliffe), an ordinary eleven-year-old boy serving as a sort of slave for his aunt and uncle who learns that he is actually a wizard and has been invited to attend the Hogwarts School for Witchcraft and Wizardry. Harry is snatched away from his mundane existence by Rubeus Hagrid (Robbie Coltrane), the groundskeeper for Hogwarts, and quickly thrown into a world completely foreign to both him and the viewer. Famous for an incident that happened at his birth, Harry makes friends easily at his new school. He soon finds, however, that the wizarding world is far more dangerous for him than he would have imagined, and he quickly learns that not all wizards are ones to be trusted.",https://m.media-amazon.com/images/M/MV5BNTU1MzgyMDMtMzBlZS00YzczLThmYWEtMjU3YmFlOWEyMjE1XkEyXkFqcGc@._V1_SX300.jpg,N/A,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",16-Nov-01,TRUE,152 min,Harry Potter and the Sorcerer's Stone,movie,N/A,"J.K. Rowling, Steve Kloves",2001,tt0241527,7.7,"940,623"
